experiment,dataset,model,condition,metric,numerator,denominator,value,unit,ci95_low,ci95_high,evidence_status,source_file,notes
PairAcc / identifiability,v3,GLM-5.1,Lifecycle-free:stable_control,pairacc,16,16,100.0,percent,,,post-primary replication/audit; zero API,matched_pairacc_and_marginals.csv,
PairAcc / identifiability,v3,GLM-5.1,Lifecycle-free:invalidity_policy,preserve_accuracy,32,32,100.0,percent,,,post-primary replication/audit; zero API,matched_pairacc_and_marginals.csv,
PairAcc / identifiability,v3,GLM-5.1,Lifecycle-free:invalidity_policy,reevaluate_accuracy,32,32,100.0,percent,,,post-primary replication/audit; zero API,matched_pairacc_and_marginals.csv,
PairAcc / identifiability,v3,GLM-5.1,Lifecycle-free:invalidity_policy,pairacc,32,32,100.0,percent,,,post-primary replication/audit; zero API,matched_pairacc_and_marginals.csv,
PairAcc / identifiability,v3,Qwen3.5,Lifecycle-gated:all,preserve_accuracy,80,80,100.0,percent,,,post-primary replication/audit; zero API,matched_pairacc_and_marginals.csv,
PairAcc / identifiability,v3,Qwen3.5,Lifecycle-gated:all,reevaluate_accuracy,77,80,96.25,percent,,,post-primary replication/audit; zero API,matched_pairacc_and_marginals.csv,
PairAcc / identifiability,v3,Qwen3.5,Lifecycle-gated:all,pairacc,77,80,96.25,percent,,,post-primary replication/audit; zero API,matched_pairacc_and_marginals.csv,
PairAcc / identifiability,v3,Qwen3.5,Lifecycle-gated:changed_winner_core,preserve_accuracy,32,32,100.0,percent,,,post-primary replication/audit; zero API,matched_pairacc_and_marginals.csv,
PairAcc / identifiability,v3,Qwen3.5,Lifecycle-gated:changed_winner_core,reevaluate_accuracy,32,32,100.0,percent,,,post-primary replication/audit; zero API,matched_pairacc_and_marginals.csv,
PairAcc / identifiability,v3,Qwen3.5,Lifecycle-gated:changed_winner_core,pairacc,32,32,100.0,percent,,,post-primary replication/audit; zero API,matched_pairacc_and_marginals.csv,
PairAcc / identifiability,v3,Qwen3.5,Lifecycle-gated:stable_control,preserve_accuracy,16,16,100.0,percent,,,post-primary replication/audit; zero API,matched_pairacc_and_marginals.csv,
PairAcc / identifiability,v3,Qwen3.5,Lifecycle-gated:stable_control,reevaluate_accuracy,16,16,100.0,percent,,,post-primary replication/audit; zero API,matched_pairacc_and_marginals.csv,
PairAcc / identifiability,v3,Qwen3.5,Lifecycle-gated:stable_control,pairacc,16,16,100.0,percent,,,post-primary replication/audit; zero API,matched_pairacc_and_marginals.csv,
PairAcc / identifiability,v3,Qwen3.5,Lifecycle-gated:invalidity_policy,preserve_accuracy,32,32,100.0,percent,,,post-primary replication/audit; zero API,matched_pairacc_and_marginals.csv,
PairAcc / identifiability,v3,Qwen3.5,Lifecycle-gated:invalidity_policy,reevaluate_accuracy,29,32,90.625,percent,,,post-primary replication/audit; zero API,matched_pairacc_and_marginals.csv,
PairAcc / identifiability,v3,Qwen3.5,Lifecycle-gated:invalidity_policy,pairacc,29,32,90.625,percent,,,post-primary replication/audit; zero API,matched_pairacc_and_marginals.csv,
PairAcc / identifiability,v3,GLM-5.1,Lifecycle-gated:all,preserve_accuracy,80,80,100.0,percent,,,post-primary replication/audit; zero API,matched_pairacc_and_marginals.csv,
PairAcc / identifiability,v3,GLM-5.1,Lifecycle-gated:all,reevaluate_accuracy,80,80,100.0,percent,,,post-primary replication/audit; zero API,matched_pairacc_and_marginals.csv,
PairAcc / identifiability,v3,GLM-5.1,Lifecycle-gated:all,pairacc,80,80,100.0,percent,,,post-primary replication/audit; zero API,matched_pairacc_and_marginals.csv,
